date,price,max,increaseShop,increasePirce
2018-07-30,41.367460317460335,198.0,0.0,-0.4031746031745982
2018-07-31,41.39126984126986,198.0,0.0,0.0238095238095255
2018-08-01,41.71181102362206,198.0,1.0,0.3205411823522013
2018-08-02,40.525196850393705,198.0,0.0,-1.1866141732283566
2018-08-03,40.674803149606305,198.0,0.0,0.14960629921259994
2018-08-04,42.06046511627908,198.0,2.0,1.385661966672778
2018-08-05,41.87519379844962,198.0,0.0,-0.1852713178294607
2018-08-06,41.83565891472869,198.0,0.0,-0.03953488372093261
2018-08-07,41.68217054263567,198.0,0.0,-0.15348837209302246
2018-08-08,42.23736434108528,198.0,0.0,0.5551937984496149
2018-08-09,41.39162790697676,198.0,0.0,-0.8457364341085238
2018-08-10,41.45364341085273,198.0,0.0,0.0620155038759691
2018-08-11,41.669922480620166,198.0,0.0,0.21627906976743816
