date,price
2019/4/20,48.51183761
2019/4/21,48.76204255
2019/4/22,48.88331915
2019/4/23,48.99476596
2019/4/24,48.70157447
2019/4/25,48.87434043
2019/4/26,48.84029787
2019/4/27,49.25978448
2019/4/28,49.01646809
2019/4/29,50.13438819
2019/4/30,49.51082803
2019/5/1,48.22510549
2019/5/2,48.51569038
2019/5/3,49.30819328
2019/5/4,49.27008368
2019/5/5,49.15292887
2019/5/6,48.93284519
2019/5/7,49.09639831
2019/5/8,49.04748954
2019/5/9,49.17803347
2019/5/10,48.971875
2019/5/11,49.40439331
2019/5/12,50.1280083
2019/5/13,50.35954357
2019/5/14,51.02121849
2019/5/15,50.70062241
2019/5/16,49.72132231
2019/5/17,49.39330579
2019/5/18,49.65096234
2019/5/19,49.55783333
2019/5/20,49.28173554
2019/5/21,49.79954545
2019/5/22,50.6807113
2019/5/23,50.08880165
2019/5/24,50.13896266
2019/5/25,50.07557851
2019/5/26,50.24477178
2019/5/27,50.48673554
2019/5/28,52.11239669
2019/5/29,51.8204918
2019/5/30,51.89794239
2019/6/1,51.82377049
2019/6/2,51.3557377
2019/6/3,51.87438017
2019/6/4,51.2
2019/6/5,51.19008264
2019/6/6,51.19918033
2019/6/7,51.61193416
2019/6/8,51.06352459
2019/6/9,50.81762295
2019/6/10,50.78857143
2019/6/11,51.13265306
2019/6/12,51.07398374
2019/6/13,51.54320988
2019/6/14,50.91463415
2019/6/15,50.78455285
2019/6/16,51.13061224
2019/6/17,51.40447154
2019/6/18,51.05325203
2019/6/19,51.06489796
2019/6/20,51.01265306
2019/6/21,50.78130081
2019/6/22,51.18536585
2019/6/23,51.04596774
2019/6/24,51.53522267
2019/6/25,51.42235772
2019/6/26,51.24129555
2019/6/27,51.34390244
2019/6/28,51.37327935
2019/6/29,51.42267206
2019/6/30,50.6437751
2019/7/1,50.8562753
2019/7/2,50.9732
2019/7/3,51.77751004
2019/7/4,51.43172691
2019/7/5,51.5424
2019/7/6,51.8428
2019/7/7,52.15983936
2019/7/8,51.084
2019/7/9,50.47896825
2019/7/10,52.07992
2019/7/11,51.65011858
2019/7/12,52.42590551
2019/7/13,52.43285714
2019/7/14,51.59125984
2019/7/15,52.4352381
2019/7/16,53.61968379
2019/7/17,53.23141732
2019/7/18,54.82326848
2019/7/19,54.46462745
2019/7/20,54.43042471
2019/7/21,53.95976834
2019/7/22,53.82849421
2019/7/23,53.47976744
2019/7/24,53.41658915
2019/7/25,53.50263566
2019/7/26,53.2165251
2019/7/27,53.9157529
2019/7/28,52.99876923
2019/7/29,52.87223077
2019/7/30,54.68069231
2019/7/31,53.82530769
2019/8/1,53.77386973
2019/8/2,53.9219305
2019/8/3,53.5148659
2019/8/4,53.60415385
2019/8/5,52.35646154
2019/8/6,52.08881226
2019/8/7,52.36749035
2019/8/8,52.25701149
2019/8/9,50.25241379
2019/8/10,49.69305344
2019/8/11,50.65412214
2019/8/12,50.59496183
2019/8/13,50.64950382
2019/8/14,51.56553435
2019/8/15,51.6140458
2019/8/16,51.88881226
2019/8/17,51.89381679
2019/8/18,51.64038168
2019/8/19,51.5616092
2019/8/20,52.63052239
2019/8/21,52.84936803
2019/8/22,53.28171004
2019/8/23,52.95457249
2019/8/24,52.77910781
2019/8/25,52.21932836
2019/8/26,51.25862454
2019/8/27,51.91449438
2019/8/28,51.70174721
2019/8/29,52.20850187
2019/8/30,51.65735075
2019/9/1,52.00505535
2019/9/2,51.84368613
2019/9/3,51.8900365
2019/9/4,52.19843066
2019/9/5,52.06959854
2019/9/6,51.10645985
2019/9/7,51.69624088
2019/9/8,50.81625455
2019/9/9,50.96523466
2019/9/10,51.20956989
2019/9/11,51.23827957
2019/9/12,51.78379928
2019/9/13,51.45544803
2019/9/14,51.55133094
2019/9/15,51.42525
2019/9/16,51.09632143
2019/9/17,50.85421429
2019/9/18,51.05136691
2019/9/19,51.04242857
2019/9/20,50.75548387
2019/9/21,50.26185053
2019/9/22,50.31879004
2019/9/23,50.28782918
2019/9/24,50.70778571
2019/9/25,50.39814286
2019/9/26,50.16269504
2019/9/27,50.21695035
2019/9/28,50.19708185
2019/9/29,49.81992857
2019/9/30,49.84488496
2019/10/1,50.30415493
2019/10/2,50.32880282
2019/10/3,50.25133803
2019/10/4,51.33817544
2019/10/5,51.43478873
2019/10/6,50.68454545
2019/10/7,49.3790625
2019/10/8,49.8383045
2019/10/9,49.69024138
2019/10/10,49.54565517
2019/10/11,47.31568493
2019/10/12,49.15089041
2019/10/13,49.65860068
2019/10/14,49.9347099
2019/10/15,50.72284247
2019/10/16,50.92030612
2019/10/17,50.47922034
2019/10/18,50.66206081
2019/10/19,50.46488215
2019/10/20,50.00158784
2019/10/21,50.01172297
2019/10/22,50.23828283
2019/10/23,50.53558923
2019/10/24,49.62818182
2019/10/25,49.39381757
2019/10/26,48.98871186
2019/10/27,49.48171717
2019/10/28,49.48306397
2019/10/29,49.35308725
2019/10/30,49.84406667
2019/11/1,49.72616162
2019/11/2,50.1577592
2019/11/3,49.76276873
2019/11/4,50.08613115
2019/11/5,49.71869427
2019/11/6,49.97306709
2019/11/7,49.74484177
2019/11/8,49.52363924
2019/11/9,49.38756329
2019/11/10,49.44367412
2019/11/11,49.53615625
2019/11/12,47.72046584
2019/11/13,49.62660436
2019/11/14,49.69221538
2019/11/15,49.42645062
2019/11/16,49.48513846
2019/11/17,49.19467692
2019/11/18,49.38380805
2019/11/19,48.29190769
2019/11/20,48.10667692
2019/11/21,48.34558642
2019/11/22,49.89252308
2019/11/23,49.71669753
2019/11/24,49.53141538
2019/11/25,49.52218462
2019/11/26,49.20698462
2019/11/27,49.61098462
2019/11/28,50.41867692
2019/11/29,50.21744615
2019/11/30,49.95029186
2019/12/1,50.44577982
2019/12/2,51.0850152
2019/12/3,50.75066869
2019/12/4,50.05826748
2019/12/5,49.81844985
2019/12/6,49.3735061
2019/12/7,48.29653495
2019/12/8,48.81844311
2019/12/9,48.30916168
2019/12/10,48.27802395
2019/12/11,48.2662908
2019/12/12,48.60677515
2019/12/13,48.60647929
2019/12/14,48.57578171
2019/12/15,48.90351032
2019/12/16,48.79144118
2019/12/17,49.78853372
2019/12/18,50.04266082
2019/12/19,50.54236842
2019/12/20,51.76432353
2019/12/21,55.46523121
2019/12/22,60.25150725
2019/12/23,60.61601719
2019/12/24,63.26951429
2019/12/25,64.07374286
2019/12/26,65.96885714
2019/12/27,66.52712251
2019/12/28,66.8972238
2019/12/29,67.08957627
2019/12/30,66.78762712
2019/12/31,67.61747191
2020/1/1,66.4463764
2020/1/2,66.63963483
2020/1/3,67.33129577
2020/1/4,67.33514045
2020/1/5,66.98616246
2020/1/6,67.11316384
2020/1/7,67.28140056
2020/1/8,67.34638655
2020/1/9,67.10826816
2020/1/10,67.53977839
2020/1/11,67.91409471
2020/1/12,67.66322222
2020/1/13,67.56277008
2020/1/14,68.05798883
2020/1/15,68.13096154
2020/1/16,68.38441989
2020/1/17,68.38564384
2020/1/18,69.664
2020/1/19,69.60788462
2020/1/20,68.42002755
2020/1/21,68.66380054
2020/1/22,68.79475543
2020/1/23,69.38338753
2020/1/24,69.37939474
2020/1/25,69.53050532
2020/1/26,68.88880952
2020/1/27,69.235953
2020/1/28,68.19002604
2020/1/29,69.02237245
2020/2/1,69.89713924
2020/2/2,70.3029397
2020/2/3,96.92037406
2020/2/4,97.9574
2020/2/5,97.24118227
2020/2/6,96.32383495
2020/2/7,97.47580336
2020/2/8,94.70124105
2020/2/9,93.71472813
2020/2/10,95.79730858
2020/2/11,97.21809524
